Scale,Subscale,Brief,Client
Emotionality,Angry Hostility,"Intense expressions of anger, including shouting or explosive responses to minor events","Strong reactions of anger that may come out suddenly or feel hard to control. Examples include getting upset over small things, raising your voice or yelling, having outbursts, or showing anger in ways that others may find intense."
Emotionality,Irritability,"A tendency to feel irritable and easily annoyed, often coming across as moody","Often feeling easily annoyed or bothered, which can sometimes come across as being moody. Examples include feeling grouchy, getting irritated quickly, or finding that small frustrations upset you more than expected."
Entitlement,,"Feeling superior and entitled to special privileges, marked by self-centered focus","Feeling more important than others and expecting special treatment or privileges. Examples include putting your own needs first, believing you deserve extra consideration, feeling jealous of what others have, or being seen as self-centered."
Excessive Exercise,,A tendency to engage in exercise at levels that disrupt daily functioning or result in physical injury,"Exercising so much that it causes harm or gets in the way of other parts of life. Examples include working out when sick or injured, continuing until feeling unwell, or canceling plans because of the need to exercise."
Excoriation,,Repetitive skin picking that causes harm or visible marks and interferes with daily life,"Repeatedly picking at your skin in ways that cause harm or leave marks. Examples include creating sores or scabs, trying to hide picked areas, or focusing on parts of your skin you feel unhappy with."
Exhibitionism,,Strong desire to be the center of attention and behaving in ways to attract or impress others,"A strong desire to be the center of attention and receive admiration. Examples include enjoying attention, doing things to get noticed, dressing to stand out, or preferring to be the focus in public."
Fantasy Proneness,,"Immersion in fantasy, daydreams, or inner thoughts that can distract from reality","Spending a lot of time in fantasy, daydreams, or inner thoughts that pull you away from the present. Examples include vivid fantasies that feel real, wishing to live in them, or losing yourself in imagination for long periods."
Food Selectivity,,Picky eating marked by disgust and avoidance of foods with disliked appearances or qualities,"Being very selective about food and avoiding certain foods because of how they look, smell, or feel. Examples include being seen as a picky eater, feeling disgusted by some foods, or avoiding them due to texture or appearance."
Gambling,,"Persistent gambling that is difficult to control, continuing despite negative consequences","Gambling that feels difficult to control and continues even when it causes harm. Examples include struggling to resist urges, finding it hard to stop once started, betting more than you can afford, or facing debt and relationship problems."
Gaming,,"Excessive gaming that interferes with functioning, causes distress when reduced, and is difficult to control","Excessive gaming that is hard to control, brings distress when limited, and interferes with daily life. Examples include skipping social plans, having problems at work or school, constantly making time for gaming, or feeling upset when unable to play."
Grandiosity,,"Feeling overly powerful or special, with unrealistic optimism and inflated self-confidence","Feeling especially confident, optimistic, or unique, sometimes in ways that may seem larger than life. Examples include believing you have special qualities, enjoying admiration from others, looking forward to future successes, or feeling very self-assured in social situations."
Health Anxiety,,"Persistent anxiety about health, with excessive worry and searching for signs of illness","Ongoing worry about health and frequent concern about having an illness. Examples include spending a lot of time thinking about possible diseases, feeling anxious after reading about health problems, or being afraid you might have a serious condition."
Hoarding,,"Difficulty letting go of possessions, leading to clutter and compulsive acquiring of new items","Difficulty letting go of belongings, which can lead to clutter and continuing to get new items. Examples include holding onto things you don't need, collecting or buying too much, or having living spaces so full that moving around is difficult."
Hyperdeliberation,,"Tendency to overanalyze decisions before acting, even when it leads to problems","Spending a lot of time analyzing choices before acting, even when it creates problems. Examples include examining every option, needing all available information, weighing pros and cons carefully, or taking months to reach a major decision."
Hypervigilance,,"Posttraumatic reactions of being overly alert and jumpy, staying on guard for danger and startling easily","Feeling overly watchful and jumpy, staying on guard for possible danger and startling easily. Examples include feeling on edge, believing the world is unsafe, being concerned about harm from others, or reacting strongly to sudden noises or movements."
Insomnia,,"Difficulty sleeping well, with trouble falling asleep, staying asleep, or waking too early","Trouble getting good sleep, including difficulty falling asleep, staying asleep, or waking up too early. Examples include sleeping poorly, lying awake at night, waking and not returning to sleep, or struggling to get enough rest."
Low Sexual Arousal,,"Problems with sexual arousal, from not feeling ""turned on"" to difficulty sustaining physical response","Trouble becoming or staying “turned on” during sexual activity. Examples include finding it hard to get aroused, struggling to stay aroused once activity starts, or not having enough physical response to enjoy the experience."
Low Sexual Interest,,"Low sexual desire, marked by diminished interest in sexual activity","Having low interest in or desire for sexual activity. Examples include feeling little or no desire, lacking interest in starting sexual activity, or feeling uninterested even during sexual experiences."
Manic Energy,,"Periods of extremely high mood and energy, with seemingly little need for sleep","Times of unusually high mood and energy, often with little need for sleep. Examples include feeling overly excited or active, talking much more than usual, having so much energy others can't keep up, or going without rest."
Mistrust,,"General tendency to doubt others, marked by suspicion and cynicism","A general tendency to be suspicious of others and doubt their intentions. Examples include believing people are selfish, feeling others can't be trusted, worrying they might take advantage of you, or thinking some are acting against you."
Mistrust,Cynicism,"A skeptical mistrust of people's motives and reliability, assuming others are self-interested or insincere","A skeptical view of others that assumes people are mainly self-interested or unreliable. Examples include believing most people are selfish, feeling others cannot be trusted, or worrying they might take advantage of you if you're not careful."
Mistrust,Suspiciousness,"An expectation that others will act with dishonesty, malice, or harm","Expecting others to be dishonest, hostile, or out to harm you. Examples include feeling very suspicious of people, believing others talk behind your back, thinking people act against you, or worrying some may want to hurt you."
Muscle Building,,"Concern with appearing muscular, often driving intense exercise and supplement use","Strong focus on building muscle and looking lean, sometimes leading to intense exercise or supplement use. Examples include wanting defined muscles, aiming to bulk up while staying lean, or feeling it’s very important to appear muscular."
Nightmares,,Nightmares and disturbing dreams that occur often and disrupt daytime well-being,"Frequent nightmares or disturbing dreams that wake you and affect how you feel during the day. Examples include waking from bad dreams, having recurring upsetting dreams, or experiencing dreams that leave you distressed after waking."
Non-persistence,,Difficulty staying focused on long-term goals or maintaining effort in challenging tasks,"Trouble staying focused on long-term goals or keeping effort up during difficult tasks. Examples include quitting before finishing, struggling to return after distractions, losing interest when things get hard, or finding it difficult to concentrate on uninteresting tasks."
Non-planfulness,,Tendency to act quickly without planning or considering possible negative consequences,"A tendency to act on impulse without much planning or thought about consequences. Examples include making quick decisions, saying things without thinking, doing something spontaneous you later regret, or acting without considering possible negative outcomes."
Non-suicidal Self-injury,,"Deliberate harming of one's body (cutting, burning, scratching) that isn't meant to cause death","Hurting your body on purpose without intending to die, often to cope with or temporarily relieve intense emotional pain. Examples include cutting, burning, biting, scratching, repeated urges to hurt yourself, or scratching until bleeding."
Oppositionality,,"Tendency to be argumentative, defiant, and resistant to authority figures","Often pushing back against rules or authority, preferring to do things your own way even when it causes conflict. Examples include enjoying rebelling against authority, breaking rules on purpose, not following social norms, or dismissing others’ standards."
Panic,,"Intense physical anxiety symptoms like racing heart or dizziness, with fears of serious harm or death","Sudden episodes of intense fear or anxiety that include physical symptoms and worries about serious harm. Examples include feeling dizzy or lightheaded, trembling or shaking, a racing heart, fearing a heart attack, or feeling like you might die."
Paraphilias,,"Sexual arousal in unusual or non-consensual contexts, such as exposing oneself or spying on others","Sexual arousal that occurs in unusual or non-consenting situations, which can cause relationship problems. Examples include finding it arousing to expose yourself, spy on others, touch strangers without consent, or imagine sexual activity with someone unable to respond."
Perfectionism,,"Tendency to demand flawless results, leading to delays, overwork, and difficulty finishing tasks","A strong drive for perfection that can cause stress, overwork, or difficulty finishing tasks. Examples include demanding flawless results, striving for perfection even when unnecessary, or delaying progress because things don't feel good enough to complete."
Premature Orgasm,,"Lack of control over sexual climax, with orgasm occurring sooner than intended","Difficulty controlling sexual climax, with orgasm happening sooner than desired. Examples include climaxing very quickly, trying to delay orgasm but being unable to, or reaching orgasm before you wanted to during sexual activity."
Problematic Shopping,,Compulsive shopping with a strong urge to buy and difficulty controlling the desire for new things,"Strong urges to shop or buy things that feel hard to control, often leading to problems. Examples include buying more than needed, spending beyond your means, keeping shopping secret, or struggling to resist the desire for new things."
Purging,,"Using vomiting, medications, or supplements to control or force weight loss","Using direct physical or medicine-based methods to force weight loss or prevent weight gain. Examples include making yourself vomit, taking medicines that make you lose water, using laxatives or enemas, or other substances to remove food."
Reality Distortion,,Tendency to hold unusual beliefs or have perceptions that differ from commonly shared reality,"Having unusual beliefs or experiences others don't share. Examples include thinking you can control things with your mind, believing others can hear your thoughts or that messages are meant for you, or seeing or hearing things others don't."
Reality Distortion,Delusions,"Tendency to hold unusual or unfounded beliefs about the world, such as ideas of special powers or control","Unusual or strongly held beliefs that differ from commonly shared reality. Examples include thinking you can control things with your mind, believing others can hear your thoughts, feeling chosen for a special role, or sensing hidden personal messages."
Reality Distortion,Hallucinations,"Sensory experiences that conflict with reality, such as seeing or hearing things not present","Seeing, hearing, smelling, or feeling things that aren't there, which can be confusing or upsetting. Examples include seeing people who aren't present, hearing voices others don't hear, smelling things that aren't real, or feeling bugs crawling on your skin."
Restlessness,,"Feeling unsettled and restless, with fidgeting or difficulty sitting still","Feeling restless and uneasy, with difficulty staying seated or still. Examples include fidgeting, needing to stand when expected to sit, avoiding activities that require sitting, or struggling to remain in one place for long periods."
Restricted Affectivity,,"Limited expression and experience of emotions, including joy, warmth, and closeness with others","Showing or feeling fewer emotions, which can make it harder to share joy or closeness with others. Examples include hiding your feelings, rarely showing emotion, not reacting to emotional events, or being told you don’t express emotions."
Restricted Eating,,"Eating less than is typical, such as intentionally skipping meals or limiting portions","Eating less than usual, often by skipping meals or limiting how much you eat. Examples include going a long time without food, skipping multiple meals, making excuses to avoid eating, or being told you don't eat enough."
Rigidity,,"Stubborn adherence to certain approaches, even when ineffective, and rigid moral or principled beliefs","Holding tightly to certain ways of doing things or strong principles, even when they cause problems. Examples include refusing to compromise, sticking to the same approach even when it fails, or being very set in your ways."
Risk Aversion,,Strong tendency to avoid risks and shy away from excitement or stimulation,"A strong preference for safety and caution, with a tendency to avoid risks or excitement. Examples include going out of your way to avoid risks, preferring the safest option, or strongly disliking taking chances."
Risk Taking,,"Tendency to pursue excitement and pleasure, often through risky or reckless behavior","Seeking excitement and pleasure, sometimes through risky or daring behavior. Examples include enjoying dangerous activities, feeling alive when taking risks, being described as a risk-taker, or seeing yourself as a thrill-seeker."
Risky Sex,,Engaging in sexual acts compulsively or in ways that increase health and pregnancy risks,"Engaging in sexual activity in ways that feel hard to control or create risks. Examples include having unprotected sex, using sex to cope with negative feelings, taking sexual risks, or later regretting sexual experiences."
Romantic Disinterest,,"Low interest, desire, or pleasure in romance and intimate connections with others","Having little interest in romantic or intimate relationships. Examples include feeling that relationships are a hassle, not wanting to be in a close relationship, or having no interest in romance at all."
Sex-Related Substance Use,,"Using substances to boost sexual performance, attraction, or to reduce negative emotions during sex","Using alcohol or drugs to change how you feel or act during sex. Examples include reducing anxiety, making sex feel more enjoyable, finding a partner more appealing, or encouraging a partner to use substances too."
Sexual Distress,,Strong negative emotions in response to perceived sexual problems or difficulties,"Feeling upset or discouraged about sexual problems or difficulties. Examples include feeling guilty about sexual issues, worrying about your sex life, feeling inadequate, or being unhappy with your sexual performance."
Sexual Pain,,Pain or discomfort in the genitals during or following sexual activity,"Feeling pain or discomfort in the genitals during or after sexual activity. Examples include tensing up because of pain, finding sex uncomfortable, or experiencing pain when trying to have vaginal or anal intercourse."
Social Aggression,,"Harming others socially by spreading rumors, lying, insulting, or disrupting relationships","Causing harm in social situations by damaging others’ reputation or relationships. Examples include spreading rumors, mocking or insulting people, taunting others, or trying to break up friendships or romantic relationships."
Social Aloofness,,"Disinterest in social interaction, leading to avoidance and preference for being alone","Preferring to be alone and showing little interest in social interaction. Examples include choosing solitude over company, feeling unmotivated to spend time with others, being happiest alone, or staying home instead of going to social gatherings."
Social Anxiety,,"Fear and avoidance of social situations, marked by shyness and worry about being negatively evaluated","Fear of social situations, often tied to shyness or worry about being judged. Examples include avoiding public speaking, feeling uncomfortable meeting new people, struggling to make eye contact, or getting anxious when others are watching."
Somatic Preoccupation,,"Increased sensitivity to bodily sensations, with ongoing awareness of internal changes","Being very aware of your physical sensations and internal bodily changes. Examples include paying close attention to how your body feels, noticing small shifts in how your body feels, and being highly aware of bodily cues."
Specific Phobia Index,,"Broad pattern of phobic reactions spanning animals, medical settings, and various situations","Strong fears across a wide range of situations, objects, or settings. Examples include fear of animals like spiders or snakes, feeling faint at the sight of blood, being upset by needles or storms, or feeling anxious about flying or heights."
Specific Phobia Index,Animal-Insect Phobia,"Fear and avoidance of animals, especially small ones like spiders, insects, rodents, or reptiles","Fear and avoidance of animals, especially worries about being stung or bitten. Examples include being afraid of spiders, insects, rodents, or reptiles, or avoiding places where you might encounter these animals."
Specific Phobia Index,Blood-Injection Phobia,"Fear and avoidance of blood, injury, or needles, often accompanied by faintness or feeling woozy","Fear and avoidance of blood, injury, or needles, often with faintness or feeling woozy. Examples include feeling upset at the sight of a needle, feeling faint when seeing blood, or becoming dizzy when faced with something gory."
Specific Phobia Index,Situational Phobias,"Fear and avoidance of certain situations, such as heights, flying, thunderstorms, or darkness","Fear and avoidance of certain situations that feel threatening or unsafe. Examples include being afraid of flying, feeling anxious about heights, becoming very upset during storms, or feeling fearful in the dark."
Submissiveness,,"Tendency to be timid and unassertive, often leading to being overlooked or taken advantage of","Being quiet or unassertive in ways that can lead to being overlooked or taken advantage of. Examples include having trouble standing up for yourself, finding it hard to assert your needs, or letting others take advantage of you."
Suicidality,,"General thoughts of death and more specific suicidal thoughts, plans, or attempts","Thoughts about death or suicide, ranging from thinking about death to making plans or attempts to kill yourself. Examples include frequently thinking about death, forming a plan to end your life, thinking about killing yourself, or attempting suicide."
Trauma Reactions,,"Recurrent memories or flashbacks of trauma, paired with avoidance of related people, places, or thoughts","Strong reactions to past traumatic events that continue to affect daily life. Examples include repeated memories, upsetting images, sudden feelings as if the event is happening again, or avoiding people, places, and thoughts connected to the trauma."
Trichotillomania,,Persistent urge-driven or automatic hair pulling that leads to noticeable hair loss and distress,"Repeated hair pulling driven by urges or automatic behavior that leads to noticeable hair loss and distress. Examples include feeling embarrassed about pulling, removing hairs of different color or texture, or having strong urges to pull."
Well-being,,"Feelings of positive emotion, such as being happy, excited, proud, or motivated","A general sense of well-being and positive emotion. Examples include feeling cheerful, proud of yourself, optimistic about the future, motivated to take action, or generally good about who you are."
Workaholism,,"Excessive focus on productivity and achievement, prioritizing work over relationships or leisure","Placing very high importance on productivity and achievement, often at the expense of relationships or leisure. Examples include being described as a workaholic, thinking about work on days off, or having little time for friends and family because of work."
